0.91,0.62,0.74,0.08,0.11,0.09,0.33,0.6,0.42,0.86,0.66,0.75,0.69,0.56,0.6,
0.96,0.76,0.85,0.27,0.44,0.34,0.35,0.67,0.46,1.0,0.37,0.54,0.77,0.62,0.65,
0.97,0.73,0.83,0.24,0.24,0.24,0.39,0.67,0.5,0.78,0.74,0.76,0.73,0.66,0.68,
0.96,0.71,0.81,0.17,0.2,0.18,0.43,0.69,0.53,0.81,0.79,0.8,0.73,0.65,0.68,
0.96,0.77,0.86,0.2,0.29,0.23,0.36,0.59,0.45,0.9,0.59,0.71,0.74,0.63,0.67,
0.95,0.87,0.91,0.28,0.2,0.23,0.37,0.81,0.51,0.94,0.42,0.58,0.76,0.67,0.68,
0.95,0.82,0.88,0.22,0.31,0.26,0.36,0.62,0.46,0.97,0.46,0.63,0.75,0.64,0.67,
0.89,0.83,0.86,0.22,0.36,0.27,0.35,0.53,0.42,0.97,0.37,0.53,0.72,0.61,0.63,
0.93,0.78,0.85,0.26,0.29,0.27,0.36,0.69,0.48,0.84,0.49,0.62,0.72,0.63,0.66,
0.93,0.73,0.81,0.19,0.22,0.2,0.4,0.66,0.5,0.7,0.59,0.64,0.69,0.62,0.64,
